[English Term]	[Arabic Translation]	[Sentiment Score]	[Positive Occurrence Count]	[Negative Occurrence Count]
gyros	الجيروسكوبات	0.478	2	2
pritt	بريت	0.478	1	1
manifestation	مظهر	0.478	2	2
#sheen	#لمعان	0.478	1	1
unbridled	سائب	0.478	1	1
#apathy	#لا_مبالاة	0.478	1	1
#pie	#فطيرة	0.478	1	1
discoverd	المكتشف	0.478	1	1
gnocchi	أكلة النوكى	0.478	1	1
spastic	تشنجي	0.478	2	2
cabby	سائق التاكسي	0.478	1	1
#employment	#توظيف	0.478	1	1
#boudoir	#البدوار_مخدع_السيدة	0.478	1	1
paro	بارو	0.478	1	1
#hitman	#قاتل_محترف	0.478	2	2
backcombed	المنفوش	0.478	1	1
stitch	غرزة	0.478	11	11
estranged	المبعدة	0.478	1	1
wem	المنافسة الاقتصادية الهولندي	0.478	1	1
jodi	جودي	0.478	3	3
trojan	حصان طروادة	0.478	4	4
patriots	وطنيون	0.478	33	33
sherri	شيري	0.478	2	2
#missed	#افتقد	0.478	2	2
dunlop	دنلوب	0.478	1	1
#sting	#لدغة	0.478	2	2
#myself	#نفسي	0.478	5	5
plywood	خشب رقائقي	0.478	1	1
kinect	كينيكت	0.478	2	2
motherboard	اللوحة الأم	0.478	1	1
nuked	ضربوا	0.478	1	1
#mb	#ميغابايت	0.478	1	1
benin	بنين	0.478	1	1
jama	جامع	0.478	2	2
#onemanshow	#عرض_رجل_واحد	0.478	1	1
#nobreak	#[نوبرك]	0.478	1	1
newsworthy	ذو أهمية إخبارية	0.478	1	1
#fa	#كرة_القدم	0.478	1	1
negligently	بإهمال	0.478	1	1
exclusively	على وجه الحصر	0.478	2	2
wbu	الاتحاد العالمي للمكفوفين	0.478	1	1
impressionist	انطباعي	0.478	1	1
excursion	نزهة	0.478	1	1
agua	أغوا	0.478	2	2
unresolved	دون حل	0.478	1	1
thirds	ثلثا	0.478	2	2
#rebellious	#متمرد	0.478	1	1
brons	برونس	0.478	1	1
#shades	#ظلال	0.478	1	1
fao	منظمة الأغذية والزراعة	0.478	1	1
nits	القمل	0.478	1	1
#bathtub	#حوض_الاستحمام	0.478	1	1
#emotion	#عاطفة	0.478	2	2
vaults	خزائن	0.478	2	2
elisa	إليسا	0.478	1	1
prequel	برقول	0.478	1	1
spinster	العانس	0.478	1	1
hees	هيس	0.478	1	1
panoramic	بانورامي	0.478	1	1
heared	هارد	0.478	1	1
raj	حاكم الهند	0.478	5	5
madder	الفوة نبات صبغي	0.478	1	1
soliciting	التماس	0.478	1	1
sportsmen	الرياضيين	0.478	1	1
kuroda	كورودا	0.478	2	2
blogged	المدون	0.478	1	1
sparring	السجال	0.478	1	1
vengeance	انتقام	0.478	4	4
#even	#حتى	0.478	3	3
abdominal	البطن	0.478	2	2
certificates	الشهادات	0.478	2	2
oxnard	أوكسنارد	0.478	1	1
mated	تزاوج	0.478	1	1
sari	ساري	0.478	2	2
butchery	سفك الدماء	0.478	1	1
#gd	#كلمة_المدير_العام	0.478	1	1
nyan	نيان	0.478	2	2
normalizing	تطبيع	0.478	1	1
fertility	خصوبة	0.478	2	2
fareed	فريد	0.478	1	1
obscenities	البذاءات	0.478	1	1
#dodgers	#المتهربين	0.478	3	3
eleventh	الحادي عشر	0.478	2	2
shamble	مشى متثاقلا	0.478	1	1
begrudgingly	بحسد	0.478	1	1
deane	دين	0.478	1	1
companys	الشركة	0.478	2	2
#sauna	#ساونا	0.478	1	1
#protest	#احتجاج	0.478	1	1
baywatch	بوتش	0.478	1	1
coda	المقطع الختامي	0.478	1	1
mingled	ممتزج	0.478	1	1
#jelena	#يلينا	0.478	1	1
#ebook	#يبوك	0.478	1	1
moa	وزارة الزراعة	0.478	4	4
#boilers	#المراجل	0.478	1	1
#kenya	#كينيا	0.478	1	1
cornflakes	رقائق الذرة	0.478	8	8
currencies	العملات	0.478	1	1
#theraven	#غراب_اسود	0.478	1	1
chuckles	ضحكة مكتومة	0.478	2	2
undercut	ضرب كرة الغولف	0.478	1	1
unwillingly	كرها	0.478	1	1
#vomitting	#قيء	0.478	1	1
cirrus	الذوابة	0.478	1	1
#acne	#حب_الشباب	0.478	4	4
#yippee	#ييب	0.478	1	1
melatonin	الميلاتونين	0.478	4	4
mg	ملغ	0.478	3	3
minibus	حافلة صغيرة	0.478	3	3
#healthcare	#الرعاية_الصحية	0.478	2	2
#ciao	#تشاو	0.478	1	1
narration	رواية	0.478	1	1
brockport	بروكبورت	0.478	1	1
kindergarden	دار حضانة	0.478	1	1
petit	بيتي	0.478	4	4
foaming	رغوة	0.478	3	3
jif	جواد للأزياء العالمية	0.478	1	1
lumber	خشب	0.478	1	1
procreate	نسل	0.478	1	1
forewarned	محذر	0.478	1	1
#marina	#مرسى	0.478	1	1
empowered	سلطة	0.478	1	1
perceptions	التصورات	0.478	2	2
mortals	بشر	0.478	3	3
fingertips	الأصابع	0.478	1	1
baron	البارون	0.478	5	5
reuses	إعادة الاستخدام	0.478	1	1
burnham	بورنهام	0.478	1	1
samaritan	السامري	0.478	1	1
gawker	الأخرق	0.478	1	1
gracefulness	رشاقة	0.478	1	1
aptitude	أهلية	0.478	2	2
syrups	العصائر	0.478	1	1
laptops	أجهزة الكمبيوتر المحمولة	0.478	12	12
ehs	الصحة والسلامة	0.478	1	1
barbers	الحلاقين	0.478	5	5
#jewel	#جوهرة	0.478	1	1
columbus	كولومبوس	0.478	20	20
inserts	إدراج	0.478	2	2
#stubs	#بذرة	0.478	1	1
satans	الشياطين	0.478	1	1
testicular	الخصية	0.478	1	1
nassau	ناسو	0.478	2	2
superiority	التفوق	0.478	2	2
#alarm	#إنذار	0.478	1	1
vindaloo	فيندلو	0.478	1	1
ruth	رحمة	0.478	9	9
sist	شوهد	0.478	1	1
#boyband	#فرقة_أولاد	0.478	1	1
#beblessed	#ان_تكون_مباركا	0.478	1	1
gluing	الإلتصاق	0.478	2	2
reefer	ثلاجة	0.478	2	2
#patches	#بقع	0.478	1	1
#iloveyoubabe	#أنا_أحبك_يا_حبيبي	0.478	1	1
#religion	#دين	0.478	3	3
balenciaga	بالينكياغا	0.478	1	1
commitment	التزام	0.478	34	34
nui	نوي	0.478	1	1
slovakian	السلوفاكية	0.478	1	1
gliders	الطائرات الشراعية	0.478	1	1
#thevow	#النذر	0.478	2	2
candied	ملبس	0.478	2	2
#rumours	#الشائعات	0.478	3	3
trimmer	الانتهازي	0.478	1	1
#muggy	#رطب_وحار	0.478	1	1
meteorologists	خبراء الأرصاد الجوية	0.478	1	1
tutelage	وصاية	0.478	1	1
estimate	تقدير	0.478	6	6
refill	عبوة	0.478	10	10
inequality	تفاوت	0.478	1	1
copious	غزير	0.478	12	12
#waterfalls	#الشلالات	0.478	1	1
rubin	روبين	0.478	1	1
frankston	فرانكستون	0.478	1	1
#bumble	#تلعثم	0.478	1	1
barbican	باربيكان	0.478	1	1
escapes	هروب	0.478	4	4
#coming	#قادم	0.478	2	2
hula	حولا	0.478	5	5
#devoted	#كرس	0.478	1	1
#fanny	#لوطي	0.478	1	1
#mature	#ناضج	0.478	5	5
hitchhikers	متنقل بالإيقاف	0.478	1	1
acknowledgement	اعتراف	0.478	4	4
plesse	بليس	0.478	1	1
#medium	#متوسط	0.478	1	1
dv	العنف المنزلي	0.478	1	1
notably	لا سيما	0.478	1	1
billionaire	الملياردير	0.478	6	6
hobgoblin	غول	0.478	1	1
numerals	الأرقام	0.478	2	2
alkaline	قلوي	0.478	1	1
sciatica	ألم النسا	0.478	2	2
menagerie	حديقة الحيوانات	0.478	1	1
proofs	البراهين	0.478	2	2
bolder	أكثر جرأة	0.478	1	1
salvador	سلفادور	0.478	1	1
steepest	الاشد	0.478	1	1
frocks	الفساتين	0.478	1	1
nicaragua	نيكاراغوا	0.478	1	1
#actually	#فعلا	0.478	4	4
#imagination	#خيال	0.478	1	1
benfica	بنفيكا	0.478	1	1
#brain	#دماغ	0.478	1	1
saxo	ساكسو	0.478	1	1
#wifi	#واي_فاي	0.478	2	2
dartford	دارتفورد	0.478	4	4
drooled	مرول	0.478	6	6
#large	#كبير	0.478	1	1
fellatio	اللسان	0.478	1	1
bloomin	المزدهر	0.478	3	3
prioritize	الأولوية	0.478	2	2
potts	بوتس	0.478	3	3
overhear	سمع مصادفة	0.478	2	2
wiggled	متلوى	0.478	1	1
javed	جاويد	0.478	1	1
piggyback	على الظهر	0.478	1	1
newborns	الأطفال حديثي الولادة	0.478	2	2
rockers	الروك	0.478	1	1
#essential	#أساسي	0.478	1	1
kismet	القسمة	0.478	1	1
uptight	عصبي	0.478	1	1
potsdam	بوتسدام	0.478	1	1
ashell	كالجحيم	0.478	1	1
#portland	#بورتلاند	0.478	2	2
#stuckin	#عالق_في	0.478	1	1
minut	الدقيقة ..	0.478	1	1
servings	حصص	0.478	1	1
raided	داهمت	0.478	3	3
bartenders	السقاة	0.478	4	4
abrupt	مفاجئ	0.478	1	1
tor	تور	0.478	2	2
birkin	بيركين	0.478	1	1
amex	أميكس	0.478	5	5
#moses	#موسى	0.478	1	1
retain	احتفظ	0.478	4	4
#mentalhealth	#الصحة_العقلية	0.478	1	1
marcos	ماركوس	0.478	2	2
#eat	#أكل	0.478	6	6
bads	الشرور	0.478	1	1
creates	يخلق	0.478	11	11
malta	مالطا	0.478	1	1
reasoned	مسبب	0.478	1	1
shaa	شاء	0.478	1	1
uneasy	غير مستقر	0.478	2	2
oe	عمر الفاروق	0.478	1	1
bloodbath	حمام دم	0.478	1	1
northeast	شمالي شرقي	0.478	5	5
platoon	مفرزة	0.478	1	1
angles	زوايا	0.478	13	13
#pepsi	#بيبسي	0.478	1	1
migration	هجرة	0.478	1	1
#trooper	#شرطي_فارس	0.478	2	2
iggy	إيجي	0.478	3	3
#storms	#العواصف	0.478	1	1
#notrightnow	#ليس_الآن	0.478	1	1
responce	التجاوب	0.478	1	1
dander	غضب	0.478	1	1
wafted	فاحت	0.478	1	1
#reflections	#تأملات	0.478	1	1
gordan	غوردان	0.478	1	1
stipe	ستيب	0.478	1	1
#having	#وجود	0.478	1	1
cav	الخيالة	0.478	1	1
whiting	الأبيض سمك	0.478	1	1
plodding	التثاقل	0.478	1	1
punted	مسير	0.478	1	1
muffler	كاتم الصوت	0.478	1	1
#threading	#خيوط	0.478	1	1
sycamore	شجر جميز	0.478	1	1
rites	طقوس	0.478	1	1
#perhaps	#ربما	0.478	1	1
scr	قرار مجلس الأمن	0.478	1	1
pointe	بوانت	0.478	5	5
increments	الزيادات	0.478	1	1
acton	أكتون	0.478	1	1
grafter	آلة التطعيم	0.478	1	1
#adobe	#أدوبي	0.478	1	1
squeak	صرير	0.478	7	7
reptiles	الزواحف	0.478	1	1
solidified	عزز	0.478	2	2
began	بدأ	0.478	25	25
recruitment	التوظيف	0.478	10	10
crean	كرين	0.478	1	1
yoy	على أساس سنوي	0.478	3	3
liven	نشط	0.478	2	2
#forme	#لي	0.478	1	1
#monkey	#قرد	0.478	1	1
darken	ظلم	0.478	1	1
mala	مالا	0.478	2	2
#part	#جزء	0.478	1	1
reyes	رييس	0.478	2	2
#mod	#وزارة_الدفاع	0.478	1	1
kneecap	الرضفة عظمة رأس الركبة	0.478	1	1
boudoir	البدوار مخدع السيدة	0.478	1	1
arrests	الاعتقالات	0.478	4	4
ovaries	المبايض	0.478	4	4
peple	ببلي	0.478	1	1
tributes	تحية	0.478	1	1
passerby	عابر سبيل	0.478	1	1
mechanical	ميكانيكي	0.478	5	5
#pampering	#التدليل	0.478	1	1
#today	#اليوم	0.478	12	12
tama	طما	0.478	1	1
interrogate	استجواب	0.478	1	1
gratiot	غرتيوت	0.478	1	1
scantily	عاريات	0.478	1	1
#seattle	#سياتل	0.478	10	10
qualifications	مؤهلات	0.478	4	4
strolled	سترول	0.478	3	3
#unneeded	#لزوم_لها	0.478	1	1
#cambodia	#كمبوديا	0.478	1	1
hui	هوى	0.478	1	1
outlets	منافذ	0.478	13	13
#trees	#الأشجار	0.478	2	2
lancaster	لانكستر	0.478	10	10
#bite	#عضة	0.478	1	1
throb	نبض	0.478	2	2
mina	مينا	0.478	2	2
begg	بيج	0.478	2	2
daredevil	متهور	0.478	2	2
awesomely	بذهول	0.478	2	2
solidify	ترسخ	0.478	1	1
knowle	نول	0.478	1	1
ultras	الالتراس	0.478	2	2
directionally	إتجاهي	0.478	1	1
vernacular	عامية	0.478	1	1
prospectus	نشرة	0.478	1	1
equation	معادلة	0.478	7	7
reacts	يتفاعل	0.478	3	3
pulsing	نبضي	0.478	1	1
flirtatious	غزلي	0.478	1	1
rioted	قاموا بأعمال شغب	0.478	1	1
paleontologist	عالم الحفريات	0.478	2	2
#act	#عمل	0.478	3	3
sambo	سامبو	0.478	2	2
ricans	أهالي	0.478	2	2
gasket	طوقا	0.478	2	2
masque	قناع	0.478	1	1
#dish	#طبق	0.478	1	1
vows	وعود	0.478	5	5
screwy	معطوب	0.478	1	1
arching	الظليل	0.478	1	1
malt	جعة	0.478	5	5
kimberly	كيمبرلي	0.478	8	8
sharpener	مبراة	0.478	1	1
groped	متلمس	0.478	1	1
tanked	سكران	0.478	3	3
idolizes	يؤله	0.478	1	1
enrollment	تسجيل	0.478	3	3
bourke	بورك	0.478	1	1
harrassment	التحرش	0.478	1	1
#goose	#أوز	0.478	1	1
#womens	#للنساء	0.478	1	1
spains	اسبانيا	0.478	1	1
armageddon	هرمجدون	0.478	9	9
brita	بريتا	0.478	1	1
penske	بنسك	0.478	2	2
bana	البنا	0.478	1	1
suncream	واقي الشمس	0.478	1	1
quays	الأرصفة	0.478	2	2
obtuse	بليد	0.478	1	1
chimney	مدخنة	0.478	10	10
oshkosh	أوشكوش	0.478	1	1
kash	كاش	0.478	1	1
sunn	السونة	0.478	1	1
doubly	على نحو مضاعف	0.478	2	2
flange	شفة	0.478	1	1
osborne	أوسبورن	0.478	8	8
#outcast	#منبوذ	0.478	1	1
kina	كينا	0.478	1	1
ket	كيت	0.478	3	3
flatten	تسطح	0.478	2	2
hatching	فقس	0.478	1	1
endurance	احتمال	0.478	3	3
murky	مظلم	0.478	1	1
stifle	خنق	0.478	1	1
#met	#التقى	0.478	1	1
kain	كين	0.478	1	1
snickers	سنيكرز	0.478	18	18
tryst	لقاء الحب	0.478	1	1
spices	توابل	0.478	4	4
sharpened	مدبب	0.478	4	4
#gullible	#ساذج	0.478	1	1
mantra	تعويذة	0.478	1	1
craigslist	كريغسليست	0.478	6	6
christensen	كريستنسن	0.478	2	2
apron	مئزر	0.478	3	3
dysfunction	اختلال وظيفي	0.478	4	4
keychains	سلاسل المفاتيح	0.478	1	1
solves	يحل	0.478	4	4
bandz	باندز	0.478	6	6
staffer	موظف	0.478	1	1
unfounded	أساس لها من الصحة	0.478	1	1
#beyond	#وراء	0.478	1	1
fortress	قلعة	0.478	3	3
earlobes	شحمة الأذن	0.478	1	1
exterior	الخارج	0.478	1	1
#giveaways	#هبات	0.478	1	1
shalom	شالوم	0.478	1	1
intime	إينتيمي	0.478	1	1
#turd	#غائط	0.478	1	1
tarp	قماش القنب	0.478	1	1
bal	بال	0.478	3	3
seh	سه	0.478	1	1
graduates	الخريجين	0.478	6	6
mobil	موبيل	0.478	1	1
puberty	سن البلوغ	0.478	10	10
referrals	الإحالات	0.478	1	1
#modest	#متواضع	0.478	1	1
framed	مؤطر	0.478	11	11
likening	تشبيه	0.478	2	2
jarrod	السهل الممتنع	0.478	1	1
acre	فدان	0.478	1	1
theworld	العالم	0.478	1	1
espressos	الإسبريسو	0.478	1	1
penultimate	قبل الأخير	0.478	2	2
songwriter	شاعر وملحن	0.478	1	1
levs	ليف	0.478	1	1
topple	قلب	0.478	1	1
tole	تول	0.478	1	1
undead	أوندد	0.478	6	6
#ripe	#ناضج	0.478	1	1
parfum	العطر	0.478	1	1
#tell	#أقول	0.478	1	1
#burr	#لدغ	0.478	1	1
elkin	الكين	0.478	1	1
treachery	خيانة	0.478	1	1
perspiration	عرق	0.478	1	1
#ubc	#جامعة_كولومبيا_البريطانية	0.478	1	1
lapped	ملفوف	0.478	1	1
marten	الدلق حيوان	0.478	1	1
coffe	القهوة	0.478	6	6
liston	ليستون	0.478	1	1
flyover	الجسر	0.478	2	2
memoir	مذكرات	0.478	1	1
jury	هيئة المحلفين	0.478	10	10
xrays	الاشعات السينيه	0.478	1	1
voyager	رحالة	0.478	1	1
comprised	تتألف	0.478	4	4
merciless	لا يرحم	0.478	1	1
carats	قيراط	0.478	1	1
#stilettos	#الخناجر	0.478	1	1
#friedrice	#أرز_مقلي	0.478	1	1
detours	تحويلات	0.478	2	2
#sir	#سيدي	0.478	1	1
#softy	#مغفل	0.478	2	2
preceding	السابقة	0.478	1	1
#crown	#تاج	0.478	1	1
pendant	قلادة	0.478	4	4
rego	ريغو	0.478	1	1
cedis	سيدي	0.478	1	1
visibly	بوضوح	0.478	1	1
#buzzed	#حلقت	0.478	1	1
inclusions	شوائب	0.478	1	1
nixon	نيكسون	0.478	2	2
#anymore	#بعد_الآن	0.478	1	1
womanhood	الأنوثة	0.478	1	1
dena	دنا	0.478	1	1
retriever	مكتشف	0.478	2	2
#muni	#موني	0.478	1	1
snape	سناب	0.478	1	1
juggle	تلاعب	0.478	3	3
roadblock	حاجز	0.478	1	1
siva	سيفا	0.478	4	4
hehehehe	ههههه	0.478	7	7
dyson	دايسون	0.478	2	2
overshadowed	طغت	0.478	1	1
yar	يار	0.478	2	2
banes	مصادر الأذى	0.478	1	1
sunbath	حمام شمس	0.478	1	1
hippos	أفراس النهر	0.478	3	3
#aesthetics	#جماليات	0.478	1	1
#definitely	#قطعا	0.478	1	1
epitomize	لخص	0.478	1	1
alfresco	في الهواء الطلق	0.478	1	1
#stormy	#عاصف	0.478	1	1
#myheart	#قلبي	0.478	1	1
northeastern	شمال شرق	0.478	2	2
#torque	#عزم_الدوران	0.478	1	1
malfunctioning	خلل	0.478	1	1
hubbub	هرج ومرج	0.478	1	1
evers	إيفرز	0.478	1	1
weatherman	إرصادي	0.478	2	2
#nta	#الهيئة_الوطنية_للمواصلات	0.478	1	1
vigil	يقظة	0.478	1	1
rc	الصليب الأحمر	0.478	2	2
facilitated	يسر	0.478	1	1
#harder	#أصعب	0.478	1	1
#semis	#نصف_النهائي	0.478	1	1
juanita	خوانيتا	0.478	1	1
#hattrick	#إنتصار_ثلاثي	0.478	1	1
gainer	كاسب	0.478	1	1
#taurus	#برج_الثور	0.478	2	2
wyatt	وايت	0.478	3	3
#dreamers	#حالمون	0.478	1	1
sexes	الجنسين	0.478	2	2
kruger	كروجر	0.478	2	2
#thrash	#جلد	0.478	1	1
armors	الدروع	0.478	1	1
odb	بنك التنمية العماني	0.478	1	1
earths	الأتربة	0.478	1	1
#youre	#كنت	0.478	5	5
covenant	عهد	0.478	1	1
reigning	حامل	0.478	2	2
calluses	النسيج	0.478	1	1
possiblity	امكانية	0.478	1	1
reinforced	عززت	0.478	1	1
disgruntled	ناقم	0.478	2	2
inserting	ادخال	0.478	1	1
bord	بورد	0.478	1	1
#smartmove	#حركة_ذكية	0.478	1	1
#gimme	#غيمي	0.478	2	2
lusty	مفعم بالحيوية	0.478	1	1
victimize	احتال	0.478	1	1
smalley	سمالي	0.478	1	1
hotdog	نقانق	0.478	9	9
writings	كتابات	0.478	3	3
claws	مخالب	0.478	8	8
swt	بسم الله الرحمن الرحيم	0.478	3	3
pursues	تنتهج	0.478	2	2
socialize	خلق صداقات	0.478	4	4
barth	بارث	0.478	1	1
lecter	ليكتر	0.478	1	1
realm	مملكة	0.478	2	2
reincarnation	تقمص	0.478	2	2
moped	الدراجة	0.478	6	6
bowed	منحنى	0.478	1	1
rut	شبق	0.478	3	3
forza	فورزا	0.478	2	2
#ina	#في	0.478	1	1
amf	صندوق النقد العربي	0.478	1	1
accord	اتفاق	0.478	3	3
#syllables	#المقاطع	0.478	1	1
toggle	تبديل	0.478	1	1
moh	وزارة الصحة	0.478	1	1
kora	الكورة	0.478	1	1
nikon	نيكون	0.478	1	1
#becauseofyou	#بسببك	0.478	1	1
lisburn	يسبورن	0.478	1	1
#sammy	#سامي	0.478	1	1
prepped	هيأهم	0.478	2	2
#mouth	#فم	0.478	2	2
coolin	يبرد	0.478	1	1
kashi	كاشي	0.478	1	1
#privacy	#خصوصية	0.478	2	2
#niggas	#كويتيات_النسائية	0.478	1	1
gripping	تجتاح	0.478	3	3
unkown	مجهولة	0.478	1	1
gulf	خليج	0.478	7	7
stade	ستاد	0.478	1	1
inconvenient	غير مناسب	0.478	7	7
stipulation	شرط	0.478	1	1
acquired	مكتسب	0.478	8	8
coupla	كبلا	0.478	1	1
analyses	تحليل	0.478	1	1
#walkingdead	#يمشى_كالميت	0.478	11	11
preconceived	مسبقة	0.478	2	2
curing	معالجة	0.478	1	1
reward	مكافأة	0.478	26	26
knightly	خيلي	0.478	1	1
#roommate	#رفيق_الحجرة	0.478	2	2
#westbrook	#ويستبروك	0.478	1	1
machinist	الميكانيكي	0.478	1	1
crazed	مخبول	0.478	2	2
stobart	ستوبارت	0.478	1	1
galleries	المعارض	0.478	4	4
maxi	ماكسي	0.478	13	13
#entertainme	#متعني	0.478	1	1
thereafter	بعد ذلك	0.478	1	1
deirdre	ديردري	0.478	1	1
pales	تتضاءل	0.478	1	1
benet	بينيت	0.478	1	1
clover	نفل	0.478	3	3
sitar	السيتار آلة موسيقية	0.478	1	1
feek	فيك	0.478	1	1
lateral	جانبي	0.478	1	1
fungi	الفطريات	0.478	2	2
mossy	مطحلب	0.478	1	1
#bruce	#بروس	0.478	2	2
pizzeria	بيتزا	0.478	2	2
beavercreek	بيفركريك	0.478	1	1
candace	كانديس	0.478	2	2
#critical	#حرج	0.478	1	1
#pleasure	#متعة	0.478	2	2
#viva	#فيفا	0.478	1	1
#getitdone	#قم_بانجازها	0.478	2	2
#bushy	#كثيف	0.478	1	1
#dna	#الحمض_النووي	0.478	1	1
attachment	التعلق	0.478	6	6
thompsons	تومسون	0.478	1	1
detectors	كشف	0.478	2	2
guided	موجه	0.478	5	5
#hooters	#الأبواق	0.478	1	1
tecmo	تيكمو	0.478	1	1
rebirth	ولادة جديدة	0.478	2	2
austrian	النمساوية	0.478	3	3
relocated	نقل	0.478	1	1
dracula	دراكولا	0.478	2	2
trodden	مداس	0.478	1	1
gatlinburg	جاتلينبرج	0.478	3	3
auditing	التدقيق	0.478	1	1
replaceable	مستبدل	0.478	1	1
excitment	اكسسيتمينت	0.478	1	1
kinder	لطفا	0.478	8	8
#chip	#رقاقة	0.478	1	1
kahlua	كالوا	0.478	2	2
duped	مغشوش	0.478	1	1
tolo	تولو	0.478	1	1
manana	غدا بالإسبانية	0.478	1	1
akron	أكرون	0.478	3	3
gers	جارس	0.478	2	2
popup	يظهر فجأة	0.478	1	1
#pasta	#معكرونة	0.478	1	1
misbehave	أساء التصرف	0.478	1	1
endeavor	محاولة	0.478	3	3
#puppies	#الجراء	0.478	2	2
backlog	تراكم الأعمال غير المنجزة	0.478	1	1
vcard	بصيغة بطاقة	0.478	1	1
reliance	اعتماد	0.478	1	1
fourty	أربعين	0.478	2	2
tias	تياس	0.478	1	1
decaff	ديكاف	0.478	1	1
verbs	الأفعال	0.478	1	1
#indifferent	#غير_مبال	0.478	1	1
canberra	كانبيرا (رويترز)	0.478	1	1
#dreamer	#حالم	0.478	5	5
scanner	الماسح الضوئي	0.478	4	4
#found	#وجدت	0.478	1	1
maja	ماجا	0.478	1	1
#robin	#روبن	0.478	1	1
tailed	الذيل	0.478	3	3
isolate	عزل	0.478	2	2
tidy	أنيق	0.478	42	42
restraunt	ضبط النفس	0.478	4	4
#bringing	#وبذلك	0.478	1	1
lauras	ارس	0.478	1	1
lectures	محاضرات	0.478	45	45
#fergie	#فيرجسون	0.478	1	1
interchange	تبادل	0.478	2	2
#glittery	#مضيء	0.478	1	1
carmine	اللون القرمزي	0.478	2	2
sculptures	منحوتات	0.478	1	1
prow	مقدمة المركب	0.478	1	1
binoculars	ثنائي العينين	0.478	2	2
#goat	#عنزة	0.478	1	1
dunking	التغميس	0.478	6	6
depressive	كئيب	0.478	2	2
mckinney	ماكيني	0.478	1	1
hazelnuts	البندق	0.478	1	1
antihistamines	مضادات الهيستامين	0.478	1	1
#beaware	#كن_حذرا	0.478	1	1
sando	ساندو	0.478	1	1
martian	المريخ	0.478	1	1
pecans	جوز أمريكي	0.478	3	3
notching	الإحراز	0.478	1	1
roms	مدمجة	0.478	1	1
testament	وصية	0.478	5	5
guyanese	جويانا	0.478	1	1
plausible	معقول	0.478	1	1
#shooter	#بندقية	0.478	2	2
#harmonies	#التجانس	0.478	1	1
propped	مسنود	0.478	1	1
megalomania	جنون العظمة	0.478	1	1
#jaffa	#يافا	0.478	1	1
gathers	يجمع	0.478	1	1
phy	فيز	0.478	1	1
michel	ميشيل	0.478	3	3
constricting	تشنجا	0.478	1	1
flax	كتان	0.478	2	2
adjusted	تعديل	0.478	4	4
wail	عويل	0.478	1	1
neanderthal	الإنسان البدائي	0.478	1	1
fairbanks	فيربانكس	0.478	1	1
brule	برول	0.478	2	2
hymnal	كتاب التراتيل	0.478	1	1
#son	#ابن	0.478	1	1
handgun	مسدس	0.478	1	1
certainty	يقين	0.478	2	2
#heating	#تدفئة	0.478	1	1
universally	عالميا	0.478	1	1
wallasey	والاسي	0.478	2	2
puck	عفريت	0.478	37	37
mordor	موردور	0.478	1	1
prancing	نطنطة	0.478	3	3
poodle	بودل	0.478	3	3
#abraham	#إبراهيم	0.478	1	1
headmaster	ناظر	0.478	2	2
heres	هيريس	0.478	17	17
beed	البيض	0.478	1	1
mississauga	ميسيسوجا	0.478	3	3
asunder	اربا	0.478	1	1
healthier	صحة	0.478	10	10
contemptible	خسيس	0.478	1	1
yit	تطلب الشركة	0.478	1	1
#fringe	#هدب	0.478	2	2
emcee	مدير التشريفات	0.478	1	1
respectively	على التوالي	0.478	3	3
#states	#الدول	0.478	1	1
#cincinnati	#سينسناتي	0.478	1	1
blowjob	اللسان	0.478	12	12
considerin	بالدراسه	0.478	1	1
sheba	سبع	0.478	2	2
honeydew	المن	0.478	1	1
hanne	هاني	0.478	1	1
prezi	برزي	0.478	1	1
sustain	تحمل	0.478	3	3
suite	جناح	0.478	27	27
pinkish	قرنفلي قليلا	0.478	1	1
guid	ارشد	0.478	1	1
quinoa	الكينوا	0.478	5	5
cess	سيس	0.478	1	1
sania	سانيا	0.478	1	1
stirrup	ركاب السرج	0.478	1	1
halpert	هلبرت	0.478	1	1
transported	نقل	0.478	2	2
restoration	استعادة	0.478	3	3
#christ	#يسوع_المسيح	0.478	4	4
#fallout	#يسقط	0.478	1	1
gunning	علم المسدسات	0.478	2	2
#turns	#المنعطفات	0.478	1	1
equates	يعادل	0.478	1	1
tappin	تابين	0.478	2	2
nurture	تغذية	0.478	1	1
folds	طيات	0.478	5	5
#fight	#شجار	0.478	5	5
mamie	مامي	0.478	1	1
moes	[موس]	0.478	3	3
imitations	تقليد	0.478	1	1
#feathers	#الريش	0.478	1	1
#cougar	#أسد_امريكي	0.478	2	2
inheritance	وراثة	0.478	2	2
adan	عدن	0.478	1	1
carrefour	كارفور	0.478	1	1
airbrushing	أيربروشينغ	0.478	1	1
costello	كوستيلو	0.478	1	1
savoy	سافوي	0.478	1	1
#myprincess	#اميرتي	0.478	1	1
sumpter	حصان الحنطور	0.478	1	1
railing	درابزين	0.478	2	2
mallard	البري	0.478	1	1
blinds	الستائر	0.478	16	16
#craziness	#جنون	0.478	1	1
#truck	#شاحنة	0.478	1	1
giuseppe	جوزيبي	0.478	1	1
#finesse	#براعة	0.478	1	1
topples	يطيح	0.478	1	1
distorted	مشوه	0.478	1	1
asg	الأمين العام المساعد	0.478	1	1
#gbm	#الخليج_للحاسبات_الآلية	0.478	1	1
looklike	تبدو وكأنها	0.478	1	1
